0x8afbd8,Weapon,Actor Count,Melee Animation ID,Ranged Animation ID,MapAnimProc,Restore Position?,Facing direction,Flash Color,##UNKNOWN##
0x82,FillasMight,2,0x3a,0x0,0x0,0x0,0x0,MU_FlashRed,0x0
0x83,NinissGrace,2,0x3b,0x0,0x0,0x0,0x0,MU_FlashBlue,0x0
0x84,ThorsIre,2,0x3c,0x0,0x0,0x0,0x0,MU_FlashYellow,0x0
0x85,SetsLitany,2,0x3d,0x0,0x0,0x0,0x0,MU_FlashGreen,0x0
0x86,0x81,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x87,HeavySpear,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x88,HolyAxe,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x89,AetherAxe,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x8a,DumasLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8b,WindSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8c,0xBD,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8d,0xBE,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8e,0xBF,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8f,0xC0,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x90,0xC1,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x91,0xC2,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x92,0xC3,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x93,0xC4,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x94,0xC5,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x95,0xC6,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x96,0xC7,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x97,0xC8,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x98,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x99,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9a,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9b,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9c,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9d,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9e,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9f,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xa0,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
